"LBX4PA.Code.or.Value","LBX4PA.Value.Description","LBX4PA.Count","LBX4PA.Cumulative","LBX4PA.Skip.to.Item"
"1.6 to 18800","Range of Values",8312,8312,NA
".","Missing",1128,9440,NA
