"WTSPO10.Code.or.Value","WTSPO10.Value.Description","WTSPO10.Count","WTSPO10.Cumulative","WTSPO10.Skip.to.Item"
"0.0000000 to 859058.9177200","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
