"WBXA091.Code.or.Value","WBXA091.Value.Description","WBXA091.Count","WBXA091.Cumulative","WBXA091.Skip.to.Item"
"-26.7764 to 0.9987","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
