"PHQ050.Code.or.Value","PHQ050.Value.Description","PHQ050.Count","PHQ050.Cumulative","PHQ050.Skip.to.Item"
"1","Yes",23,23,NA
"2","No",8505,8528,NA
".","Missing",428,8956,NA
