"DXXRLBMC.Code.or.Value","DXXRLBMC.Value.Description","DXXRLBMC.Count","DXXRLBMC.Cumulative","DXXRLBMC.Skip.to.Item"
"99.78 to 1063.78","Range of Values",4660,4660,NA
".","Missing",1032,5692,NA
