"DR2ISUGR.Code.or.Value","DR2ISUGR.Value.Description","DR2ISUGR.Count","DR2ISUGR.Cumulative","DR2ISUGR.Skip.to.Item"
"0 to 609.25","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
