"OPDSEXU.Code.or.Value","OPDSEXU.Value.Description","OPDSEXU.Count","OPDSEXU.Cumulative","OPDSEXU.Skip.to.Item"
"0","No",3094,3094,NA
"1","Yes",9,3103,NA
".","Missing",760,3863,NA
