"MCQ150G.Code.or.Value","MCQ150G.Value.Description","MCQ150G.Count","MCQ150G.Cumulative","MCQ150G.Skip.to.Item"
"1","Enter number",2367,2367,""
"2","Did not go to school",128,2495,"MCQ160A"
"7","Refused",0,2495,"MCQ160A"
"9","Don't know",5,2500,"MCQ160A"
".","Missing",7166,9666,""
