"RHQ051.Code.or.Value","RHQ051.Value.Description","RHQ051.Count","RHQ051.Cumulative","RHQ051.Skip.to.Item"
"1","Having it now",332,332,"RHQ075A"
"2","Less than 2 months ago",1332,1664,"RHQ075A"
"3","3 - 5 months ago",147,1811,"RHQ075A"
"4","6 - 8 months ago",101,1912,"RHQ075A"
"5","9 - 11 months ago",70,1982,"RHQ075A"
"77","Refused",0,1982,"RHQ075A"
"99","Don't know",0,1982,"RHQ075A"
".","Missing",1582,3564,""
