"DXDLLLE.Code.or.Value","DXDLLLE.Value.Description","DXDLLLE.Count","DXDLLLE.Cumulative","DXDLLLE.Skip.to.Item"
"1618.4 to 18375.8","Range of Values",5290,5290,NA
".","Missing",743,6033,NA
