"LBXMIR.Code.or.Value","LBXMIR.Value.Description","LBXMIR.Count","LBXMIR.Cumulative","LBXMIR.Skip.to.Item"
"0.0065 to 1.1989","Range of Values",1951,1951,NA
".","Missing",386,2337,NA
