"AUXR2KR.Code.or.Value","AUXR2KR.Value.Description","AUXR2KR.Count","AUXR2KR.Cumulative","AUXR2KR.Skip.to.Item"
"45 to 105","Range of Values",15,15,NA
"666","No response",0,15,NA
"888","Could not obtain",0,15,NA
".","Missing",4567,4582,NA
