"TYXP057.Code.or.Value","TYXP057.Value.Description","TYXP057.Count","TYXP057.Cumulative","TYXP057.Skip.to.Item"
"-120 to 177","Range of Values",5582,5582,NA
".","Missing",3,5585,NA
