"URXUTU.Code.or.Value","URXUTU.Value.Description","URXUTU.Count","URXUTU.Cumulative","URXUTU.Skip.to.Item"
"0.03 to 13.42","Range of Values",2338,2338,NA
".","Missing",209,2547,NA
