"OCD150.Code.or.Value","OCD150.Value.Description","OCD150.Count","OCD150.Cumulative","OCD150.Skip.to.Item"
"1","Working at a job or business,",3371,3371,"OCQ180"
"2","With a job or business but not at work,",132,3503,"OCQ210"
"3","Looking for work, or",279,3782,"OCD390G"
"4","Not working at a job or business?",3106,6888,"OCQ380"
"7","Refused",0,6888,"OCD390G"
"9","Don't know",1,6889,"OCD390G"
".","Missing",0,6889,""
