"LBDPFSAL.Code.or.Value","LBDPFSAL.Value.Description","LBDPFSAL.Count","LBDPFSAL.Cumulative","LBDPFSAL.Skip.to.Item"
"0","At or above the detection limit",579,579,NA
"1","Below lower detection limit",1541,2120,NA
".","Missing",203,2323,NA
