"AUXU3KR.Code.or.Value","AUXU3KR.Value.Description","AUXU3KR.Count","AUXU3KR.Cumulative","AUXU3KR.Skip.to.Item"
"-10 to 110","Range of Values",1880,1880,NA
"666","No response",1,1881,NA
"888","Could not obtain",0,1881,NA
".","Missing",165,2046,NA
