"WTSSPT.Code.or.Value","WTSSPT.Value.Description","WTSSPT.Count","WTSSPT.Cumulative","WTSSPT.Skip.to.Item"
"6109.60849 to 268739.96713","Range of Values",5911,5911,NA
".","Missing",0,5911,NA
