"OHQ571Q.Code.or.Value","OHQ571Q.Value.Description","OHQ571Q.Count","OHQ571Q.Cumulative","OHQ571Q.Skip.to.Item"
"1 to 30","Range of Values",269,269,""
"7777","Refused",0,269,"OHQ592"
"9999","Don't know",14,283,"OHQ592"
".","Missing",9292,9575,""
