"SSD041.Code.or.Value","SSD041.Value.Description","SSD041.Count","SSD041.Cumulative","SSD041.Skip.to.Item"
"1","A lot more,",50,50,NA
"2","Some, or",93,143,NA
"3","A little more emotional support?",90,233,NA
"7","Refused",0,233,NA
"9","Don't know",0,233,NA
".","Missing",1639,1872,NA
