"WBXA101.Code.or.Value","WBXA101.Value.Description","WBXA101.Count","WBXA101.Cumulative","WBXA101.Skip.to.Item"
"-378.7883 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
