"DS1IPHOS.Code.or.Value","DS1IPHOS.Value.Description","DS1IPHOS.Count","DS1IPHOS.Cumulative","DS1IPHOS.Skip.to.Item"
"4 to 440","Range of Values",989,989,NA
".","Missing",4917,5906,NA
