"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"0.57 to 614.5","Range of Values",2690,2690,NA
".","Missing",114,2804,NA
