"DXXRABMD.Code.or.Value","DXXRABMD.Value.Description","DXXRABMD.Count","DXXRABMD.Cumulative","DXXRABMD.Skip.to.Item"
"0.302 to 1.258","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
