"BPQ040A.Code.or.Value","BPQ040A.Value.Description","BPQ040A.Count","BPQ040A.Cumulative","BPQ040A.Skip.to.Item"
"1","Yes",1745,1745,""
"2","No",283,2028,"BPQ057"
"7","Refused",0,2028,"BPQ057"
"9","Don't know",3,2031,"BPQ057"
".","Missing",4144,6175,""
