"RXD260.Code.or.Value","RXD260.Value.Description","RXD260.Count","RXD260.Cumulative","RXD260.Skip.to.Item"
"1 to 25550","Range of Values",9006,9006,NA
"77777","Refused",0,9006,NA
"99999","Don't know",173,9179,NA
".","Missing",6464,15643,NA
