"LBXF10.Code.or.Value","LBXF10.Value.Description","LBXF10.Count","LBXF10.Cumulative","LBXF10.Skip.to.Item"
"17.54 to 493.7","Range of Values",1884,1884,NA
".","Missing",390,2274,NA
