"BMXSAD4.Code.or.Value","BMXSAD4.Value.Description","BMXSAD4.Count","BMXSAD4.Cumulative","BMXSAD4.Skip.to.Item"
"11.1 to 36.4","Range of Values",398,398,NA
".","Missing",8940,9338,NA
