"MCQ160G.Code.or.Value","MCQ160G.Value.Description","MCQ160G.Count","MCQ160G.Cumulative","MCQ160G.Skip.to.Item"
"1","Yes",95,95,"MCQ180G"
"2","No",4779,4874,""
"7","Refused",0,4874,""
"9","Don't know",6,4880,""
".","Missing",4613,9493,""
