"LBDDFSLC.Code.or.Value","LBDDFSLC.Value.Description","LBDDFSLC.Count","LBDDFSLC.Cumulative","LBDDFSLC.Skip.to.Item"
"0","At or above limit of detection",798,798,NA
"1","Below limit of detection",104,902,NA
".","Missing",183,1085,NA
