"OHQ490g.Code.or.Value","OHQ490g.Value.Description","OHQ490g.Count","OHQ490g.Cumulative","OHQ490g.Skip.to.Item"
"1","Checked",227,227,NA
"77","Refused",0,227,NA
"99","Don't know",8,235,NA
".","Missing",8612,8847,NA
