"ORXH35.Code.or.Value","ORXH35.Value.Description","ORXH35.Count","ORXH35.Cumulative","ORXH35.Skip.to.Item"
"1","Positive",19,19,NA
"2","Negative",4391,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
