"WHD220.Code.or.Value","WHD220.Value.Description","WHD220.Count","WHD220.Cumulative","WHD220.Skip.to.Item"
"0 to 248","Range of Values",3849,3849,NA
"77777","Refused",1,3850,NA
"99999","Don't know",50,3900,NA
".","Missing",2989,6889,NA
