"DRD370QQ.Code.or.Value","DRD370QQ.Value.Description","DRD370QQ.Count","DRD370QQ.Cumulative","DRD370QQ.Skip.to.Item"
"1 to 5","Range of Values",18,18,NA
".","Missing",9625,9643,NA
