"CIQP13L.Code.or.Value","CIQP13L.Value.Description","CIQP13L.Count","CIQP13L.Cumulative","CIQP13L.Skip.to.Item"
"1","Yes",19,19,NA
"2","No",89,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
