"LBDEPAHL.Code.or.Value","LBDEPAHL.Value.Description","LBDEPAHL.Count","LBDEPAHL.Cumulative","LBDEPAHL.Skip.to.Item"
"0","At or above the detection limit",79,79,NA
"1","Below lower detection limit",2015,2094,NA
".","Missing",274,2368,NA
