"DXXOFA.Code.or.Value","DXXOFA.Value.Description","DXXOFA.Count","DXXOFA.Cumulative","DXXOFA.Skip.to.Item"
"14.55 to 58.27","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
