"DR1TS180.Code.or.Value","DR1TS180.Value.Description","DR1TS180.Count","DR1TS180.Cumulative","DR1TS180.Skip.to.Item"
"0.008 to 37.472","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
