"DR2TCARB.Code.or.Value","DR2TCARB.Value.Description","DR2TCARB.Count","DR2TCARB.Cumulative","DR2TCARB.Skip.to.Item"
"0 to 1416.53","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
