"LBDFORLC.Code.or.Value","LBDFORLC.Value.Description","LBDFORLC.Count","LBDFORLC.Cumulative","LBDFORLC.Skip.to.Item"
"0","at or above the limit of detection",2149,2149,NA
"1","below limit of detection",0,2149,NA
".","Missing",606,2755,NA
