"AUXR4KR.Code.or.Value","AUXR4KR.Value.Description","AUXR4KR.Count","AUXR4KR.Cumulative","AUXR4KR.Skip.to.Item"
"30 to 115","Range of Values",19,19,NA
"666","No response",0,19,NA
"888","Could not obtain",0,19,NA
".","Missing",4481,4500,NA
