"DXXPT40Y.Code.or.Value","DXXPT40Y.Value.Description","DXXPT40Y.Count","DXXPT40Y.Cumulative","DXXPT40Y.Skip.to.Item"
"168.9 to 405.4","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
