"DR2TS120.Code.or.Value","DR2TS120.Value.Description","DR2TS120.Count","DR2TS120.Cumulative","DR2TS120.Skip.to.Item"
"0 to 17.014","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
