"URXPPB.Code.or.Value","URXPPB.Value.Description","URXPPB.Count","URXPPB.Cumulative","URXPPB.Skip.to.Item"
"0.07 to 2188.2","Range of Values",2686,2686,NA
".","Missing",91,2777,NA
