"LBXBGE.Code.or.Value","LBXBGE.Value.Description","LBXBGE.Count","LBXBGE.Cumulative","LBXBGE.Skip.to.Item"
"0.05 to 1.01","Range of Values",7480,7480,NA
".","Missing",886,8366,NA
