"DR1TRET.Code.or.Value","DR1TRET.Value.Description","DR1TRET.Count","DR1TRET.Cumulative","DR1TRET.Skip.to.Item"
"0 to 14856","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
