"URXMOP.Code.or.Value","URXMOP.Value.Description","URXMOP.Count","URXMOP.Cumulative","URXMOP.Skip.to.Item"
"1.0691 to 63.336","Range of Values",2541,2541,NA
".","Missing",107,2648,NA
