"URDMX7LC.Code.or.Value","URDMX7LC.Value.Description","URDMX7LC.Count","URDMX7LC.Cumulative","URDMX7LC.Skip.to.Item"
"0","At or above detection limit",2540,2540,NA
"1","Below lower detection limit",81,2621,NA
".","Missing",138,2759,NA
