"LBDBCDSI.Code.or.Value","LBDBCDSI.Value.Description","LBDBCDSI.Count","LBDBCDSI.Cumulative","LBDBCDSI.Skip.to.Item"
"0.98 to 82.74","Range of Values",7920,7920,NA
".","Missing",1036,8956,NA
