"OSD030ch.Code.or.Value","OSD030ch.Value.Description","OSD030ch.Count","OSD030ch.Cumulative","OSD030ch.Skip.to.Item"
"85","85 or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",1,1,NA
".","Missing",5040,5041,NA
