"URXMNM.Code.or.Value","URXMNM.Value.Description","URXMNM.Count","URXMNM.Cumulative","URXMNM.Skip.to.Item"
"0.1 to 791.4","Range of Values",2782,2782,NA
".","Missing",119,2901,NA
