"BIXC723K.Code.or.Value","BIXC723K.Value.Description","BIXC723K.Count","BIXC723K.Cumulative","BIXC723K.Skip.to.Item"
"6.55 to 726.46","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
