"ECD070A.Code.or.Value","ECD070A.Value.Description","ECD070A.Count","ECD070A.Cumulative","ECD070A.Skip.to.Item"
"1 to 12","Range of Values",3505,3505,NA
"13","13 pounds or more",3,3508,NA
"7777","Refused",1,3509,NA
"9999","Don't know",72,3581,NA
".","Missing",0,3581,NA
