"OPDUSE.Code.or.Value","OPDUSE.Value.Description","OPDUSE.Count","OPDUSE.Cumulative","OPDUSE.Skip.to.Item"
"0","No",3156,3156,NA
"1","Questionable",38,3194,NA
"2","Yes",66,3260,NA
".","Missing",603,3863,NA
