"DR2_300.Code.or.Value","DR2_300.Value.Description","DR2_300.Count","DR2_300.Cumulative","DR2_300.Skip.to.Item"
"1","Much more than usual",480,480,NA
"2","Usual",6399,6879,NA
"3","Much less than usual",981,7860,NA
"7","Refused",0,7860,NA
"9","Don't know",60,7920,NA
".","Missing",1842,9762,NA
