"DR2MC.Code.or.Value","DR2MC.Value.Description","DR2MC.Count","DR2MC.Cumulative","DR2MC.Skip.to.Item"
"100000 to 207524","Range of Values",3484,3484,NA
"0","No modification",125657,129141,NA
".","Missing",0,129141,NA
