"LBXPFUA.Code.or.Value","LBXPFUA.Value.Description","LBXPFUA.Count","LBXPFUA.Cumulative","LBXPFUA.Skip.to.Item"
"0.07 to 4.8","Range of Values",1929,1929,NA
".","Missing",204,2133,NA
