"DR2_040Z.Code.or.Value","DR2_040Z.Value.Description","DR2_040Z.Count","DR2_040Z.Cumulative","DR2_040Z.Skip.to.Item"
"1","Yes",79036,79036,NA
"2","No",32891,111927,NA
"7","Refused",0,111927,NA
"9","Don't know",4,111931,NA
".","Missing",647,112578,NA
