"DID040.Code.or.Value","DID040.Value.Description","DID040.Count","DID040.Cumulative","DID040.Skip.to.Item"
"1 to 79","Range of Values",870,870,NA
"80","80 years or older",11,881,NA
"666","Less than 1 year",1,882,NA
"777","Refused",0,882,NA
"999","Don't know",10,892,NA
".","Missing",8005,8897,NA
