"TYXA147.Code.or.Value","TYXA147.Value.Description","TYXA147.Count","TYXA147.Cumulative","TYXA147.Skip.to.Item"
"0.09 to 6.436","Range of Values",3432,3432,NA
".","Missing",2153,5585,NA
