"DBD905.Code.or.Value","DBD905.Value.Description","DBD905.Count","DBD905.Cumulative","DBD905.Skip.to.Item"
"1 to 150","Range of Values",2780,2780,NA
"0","Never",7248,10028,NA
"7777","Refused",2,10030,NA
"9999","Don't know",16,10046,NA
".","Missing",491,10537,NA
