"DR1TS080.Code.or.Value","DR1TS080.Value.Description","DR1TS080.Count","DR1TS080.Cumulative","DR1TS080.Skip.to.Item"
"0 to 16.427","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
