"WTSPP35.Code.or.Value","WTSPP35.Value.Description","WTSPP35.Count","WTSPP35.Cumulative","WTSPP35.Skip.to.Item"
"0 to 810997.03002","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
