"DR2TS040.Code.or.Value","DR2TS040.Value.Description","DR2TS040.Count","DR2TS040.Cumulative","DR2TS040.Skip.to.Item"
"0 to 10.089","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
